Date,^GSPC,MSFT,AAPL,AMZN,GOOGL,TSLA,GOOG,META,NVDA,BRK-B,JPM
2022-05-06,4123.33984375,272.742431640625,156.8017120361328,114.77249908447266,115.74649810791016,288.54998779296875,115.66000366210938,203.77000427246094,186.65505981445312,318.8800048828125,121.54773712158203
2022-05-09,3991.239990234375,262.6658630371094,151.59759521484375,108.78900146484375,112.51100158691406,262.3699951171875,113.08399963378906,196.2100067138672,169.41383361816406,312.9599914550781,119.72039031982422
2022-05-10,4001.050048828125,267.55029296875,154.04013061523438,108.85900115966797,114.3949966430664,266.67999267578125,114.58450317382812,197.64999389648438,175.8605499267578,312.5299987792969,116.80253601074219
2022-05-11,3935.179931640625,258.6650085449219,146.05450439453125,105.37200164794922,113.60250091552734,244.6666717529297,113.96099853515625,188.74000549316406,166.2154541015625,311.5400085449219,116.06570434570312
2022-05-12,3930.080078125,253.5026397705078,142.12648010253906,106.93049621582031,112.84400177001953,242.6666717529297,113.16100311279297,191.24000549316406,161.6677703857422,308.05999755859375,115.96745300292969
2022-05-13,4023.889892578125,259.23089599609375,146.66265869140625,113.05500030517578,116.05049896240234,256.5299987792969,116.5155029296875,198.6199951171875,176.96998596191406,310.3599853515625,116.99901580810547
2022-05-16,4008.010009765625,259.6081237792969,145.09742736816406,110.81050109863281,114.44499969482422,241.4566650390625,114.7925033569336,200.0399932861328,172.55223083496094,309.2900085449219,116.18360137939453
2022-05-17,4088.85009765625,264.8896789550781,148.7861785888672,115.36849975585938,116.4729995727539,253.8699951171875,116.70149993896484,202.6199951171875,181.67759704589844,314.6000061035156,120.03477478027344
2022-05-18,3923.679931640625,252.82933044433594,140.39178466796875,107.11250305175781,111.89949798583984,236.60333251953125,112.4010009765625,192.24000549316406,169.2938995361328,306.6400146484375,117.98146057128906
2022-05-19,3900.7900390625,251.89395141601562,136.9323272705078,107.31900024414062,110.38400268554688,236.47332763671875,110.74549865722656,191.2899932861328,171.1529541015625,304.1499938964844,116.23271942138672
2022-05-20,3901.360107421875,251.31680297851562,137.1715850830078,107.59100341796875,108.90799713134766,221.3000030517578,109.31300354003906,193.5399932861328,166.85513305664062,304.04998779296875,115.27974700927734
2022-05-23,3973.75,259.3669738769531,142.6748046875,107.55699920654297,111.48799896240234,224.96665954589844,111.66649627685547,196.22999572753906,168.8940887451172,310.20001220703125,122.41227722167969
2022-05-24,3941.47998046875,258.342041015625,139.93316650390625,104.0999984741211,105.97000122070312,209.3866729736328,105.9260025024414,181.27999877929688,161.45787048339844,309.1700134277344,124.1413803100586
2022-05-25,3978.72998046875,261.227783203125,140.0926971435547,106.7750015258789,105.80500030517578,219.60000610351562,105.8395004272461,183.8300018310547,169.6636962890625,308.6400146484375,125.00592041015625
2022-05-26,4057.840087890625,264.59112548828125,143.34275817871094,111.07749938964844,107.7925033569336,235.91000366210938,108.2959976196289,191.6300048828125,178.41925048828125,312.5,127.16729736328125
